UT,TIME,ALTITUDE,APOAPSIS,PERIAPSIS,INCLINATION,S VELOCITY,O VELOCITY,THRUST,MASS,IDEAL PITCH,PITCH,GRAVITY,STAGE,S1 FUEL,S1 OX,S2 FUEL,S2 OX
3006546.58176012,5.04000000469387,201.092609839747,329.239295172738,0,0.0974010269553505,49.1994924359764,181.92342933633,282.071044921875,14.1427707672119,89.5741742638188,89.6894488672001,9.80339543187652,5,90.5%,90.5%,100%,100%
3006546.64176012,5.10000000474975,204.056181750144,335.137855349341,0,0.0974051702397061,49.5861387993062,182.031937150525,282.082534790039,14.1379976272583,89.5691084716937,89.6854569656846,9.80333076529601,5,90.4%,90.4%,100%,100%
3006546.68176012,5.140000004787,206.051216565771,339.108654318145,0,0.0974087282440763,49.9727647788294,182.141240512534,282.094116210938,14.1332244873047,89.5614356659022,89.6793269213289,9.80323281973906,5,90.3%,90.3%,100%,100%
3006546.74176012,5.18000000482425,209.072768832557,345.122502849554,0,0.0974147582657476,50.5526674968017,182.306687160499,282.111633300781,14.1260633468628,89.5562710677649,89.6751909428576,9.80316689220847,5,90.2%,90.2%,100%,100%
3006546.78176012,5.24000000488013,211.106451404048,349.17012139922,0,0.0974191918280547,50.9392373588824,182.417983484013,282.123413085938,14.1212902069092,89.5510669867724,89.6709543813302,9.80310046059578,5,90.1%,90.1%,100%,100%
3006546.82176012,5.28000000491738,213.155630035093,353.248446359998,0,0.0974261149355303,51.5190435183524,182.586437865603,282.141250610352,14.1141300201416,89.5431868545152,89.6645737852874,9.80299986660112,5,90.1%,90%,100%,100%
3006546.88176012,5.34000000497326,216.258349481854,359.423426746624,0,0.0974308539592319,51.9055389360612,182.699743055115,282.153259277344,14.109356880188,89.5378841656115,89.660264743903,9.80293217339274,5,90%,90%,100%,100%
3006546.92176012,5.38000000501052,218.346154287108,363.57840956829,0,0.0974356583890408,52.2920037876217,182.813850651581,282.165344238281,14.1045827865601,89.5298562068179,89.6538067543035,9.80282968877624,5,89.9%,89.9%,100%,100%
3006546.98176012,5.42000000504777,221.506819417584,369.868345031398,0,0.0974422535381947,52.8716372343498,182.986494173579,282.183624267578,14.0974225997925,89.5244549849596,89.6493686340449,9.80276073611746,5,89.8%,89.8%,100%,100%
3006547.02176012,5.48000000510365,223.633278854541,374.099921213579,0,0.097446656074573,53.2580135791879,183.102554189555,282.195907592773,14.0926494598389,89.5190143870111,89.6449852357186,9.80269127821878,5,89.7%,89.7%,100%,100%
3006547.06176012,5.5200000051409,225.775177175063,378.362112761708,0,0.0974532521434512,53.8375033348334,183.27811941955,282.214508056641,14.0854892730713,89.5107797212784,89.6382968528956,9.80258614684482,5,89.6%,89.6%,100%,100%
3006547.12176012,5.58000000519678,229.017007361981,384.812710258295,0,0.0974581521541259,54.2237749974267,183.396150088946,282.227020263672,14.0807151794434,89.5052408010965,89.6337681980329,9.80251542936674,5,89.5%,89.5%,100%,100%
3006547.16176012,5.62000000523403,231.197518993635,389.151318022399,0,0.0974633010116803,54.6100031977145,183.51495453782,282.239608764648,14.0759420394897,89.4968587633972,89.6268770590295,9.80240840885688,5,89.4%,89.4%,100%,100%
